parent_name	parent_version	child_name	child_version	edge_contexts	cargo_all_targets_active
cap-fs-ext	3.4.5	io-lifetimes	2.0.4	normal:all	true
cap-fs-ext	3.4.5	windows-sys	0.59.0	normal:cfg(windows)	true
cap-net-ext	3.4.5	cap-primitives	3.4.5	normal:all	true
cap-net-ext	3.4.5	cap-std	3.4.5	normal:all	true
cap-net-ext	3.4.5	rustix	1.1.4	normal:all	true
cap-net-ext	3.4.5	smallvec	1.15.1	normal:all	true
cap-primitives	3.4.5	ambient-authority	0.0.2	normal:all	true
cap-primitives	3.4.5	fs-set-times	0.20.3	normal:all	true
cap-primitives	3.4.5	io-extras	0.18.4	normal:all	true
cap-primitives	3.4.5	io-lifetimes	2.0.4	normal:all	true
cap-primitives	3.4.5	ipnet	2.11.0	normal:all	true
cap-primitives	3.4.5	maybe-owned	0.3.4	normal:all	true
cap-primitives	3.4.5	rustix	1.1.4	normal:cfg(not(windows))	true
cap-primitives	3.4.5	rustix-linux-procfs	0.1.1	"normal:cfg(any(target_os = ""android"", target_os = ""linux""))"	true
cap-primitives	3.4.5	windows-sys	0.59.0	normal:cfg(windows)	true
cap-primitives	3.4.5	winx	0.36.4	normal:cfg(windows)	true
cap-std	3.4.5	cap-primitives	3.4.5	normal:all	true
cap-std	3.4.5	io-extras	0.18.4	normal:all	true
cap-std	3.4.5	io-lifetimes	2.0.4	normal:all	true
cap-std	3.4.5	rustix	1.1.4	normal:cfg(not(windows))	true
cap-time-ext	3.4.5	ambient-authority	0.0.2	normal:all	true
cap-time-ext	3.4.5	cap-primitives	3.4.5	normal:all	true
cap-time-ext	3.4.5	iana-time-zone	0.1.65	normal:all	true
cap-time-ext	3.4.5	once_cell	1.21.3	normal:cfg(windows)	true
cap-time-ext	3.4.5	rustix	1.1.4	normal:cfg(not(windows))	true
cap-time-ext	3.4.5	winx	0.36.4	normal:cfg(windows)	true
cc	1.2.56	find-msvc-tools	0.1.9	normal:all	true
cc	1.2.56	jobserver	0.1.34	normal:all	true
cc	1.2.56	libc	0.2.186	normal:cfg(unix)	true
cc	1.2.56	shlex	1.3.0	normal:all	true
chacha20	0.10.0	cfg-if	1.0.4	normal:all	true
chacha20	0.10.0	cpufeatures	0.3.0	"normal:cfg(any(target_arch = ""x86_64"", target_arch = ""x86""))"	true
chacha20	0.10.0	rand_core	0.10.1	normal:all	true
chrono	0.4.44	iana-time-zone	0.1.65	normal:cfg(unix)	true
chrono	0.4.44	js-sys	0.3.90	"normal:cfg(all(target_arch = ""wasm32"", not(any(target_os = ""emscripten"", target_os = ""wasi""))))"	true
chrono	0.4.44	num-traits	0.2.19	normal:all	true
chrono	0.4.44	serde	1.0.228	normal:all	false
chrono	0.4.44	wasm-bindgen	0.2.113	"normal:cfg(all(target_arch = ""wasm32"", not(any(target_os = ""emscripten"", target_os = ""wasi""))))"	true
chrono	0.4.44	windows-link	0.2.1	normal:cfg(windows)	true
ciborium	0.2.2	ciborium-io	0.2.2	normal:all	true
ciborium	0.2.2	ciborium-ll	0.2.2	normal:all	true
ciborium	0.2.2	serde	1.0.228	normal:all	true
ciborium-ll	0.2.2	ciborium-io	0.2.2	normal:all	true
ciborium-ll	0.2.2	half	2.7.1	normal:all	true
cipher	0.4.4	crypto-common	0.1.7	normal:all	true
cipher	0.4.4	inout	0.1.4	normal:all	true
clap	4.5.60	clap_builder	4.5.60	normal:all	true
clap	4.5.60	clap_derive	4.5.55	normal:all	true
clap_builder	4.5.60	anstream	0.6.21	normal:all	true
clap_builder	4.5.60	anstyle	1.0.13	normal:all	true
clap_builder	4.5.60	clap_lex	1.0.0	normal:all	true
clap_builder	4.5.60	strsim	0.11.1	normal:all	true
clap_derive	4.5.55	heck	0.5.0	normal:all	true
clap_derive	4.5.55	proc-macro2	1.0.106	normal:all	true
clap_derive	4.5.55	quote	1.0.44	normal:all	true
clap_derive	4.5.55	syn	2.0.117	normal:all	true
cmake	0.1.58	cc	1.2.56	normal:all	true
cobs	0.3.0	thiserror	2.0.18	normal:all	true
combine	4.6.7	bytes	1.11.1	normal:all	true
combine	4.6.7	memchr	2.8.0	normal:all	true
concurrent-queue	2.5.0	crossbeam-utils	0.8.21	normal:all	true
concurrent-queue	2.5.0	portable-atomic	1.13.1	normal:all	true
console	0.15.11	encode_unicode	1.0.0	normal:cfg(windows)	true
console	0.15.11	libc	0.2.186	normal:all	true
console	0.15.11	once_cell	1.21.3	normal:all	true
console	0.15.11	windows-sys	0.59.0	normal:cfg(windows)	true
const_format	0.2.35	const_format_proc_macros	0.2.34	normal:all	true
const_format_proc_macros	0.2.34	proc-macro2	1.0.106	normal:all	true
const_format_proc_macros	0.2.34	quote	1.0.44	normal:all	true
