name	version	source	native_normal_build	native_all_edges	all_targets_all_edges	native_dev_context	foreign_target_context
once_cell_polyfill	1.70.2	registry	false	false	true	false	true
oorandom	11.1.5	registry	false	true	true	true	false
openssl-probe	0.2.1	registry	true	true	true	false	false
option-ext	0.2.0	registry	true	true	true	false	false
page_size	0.6.0	registry	true	true	true	true	false
parking	2.2.1	registry	true	true	true	false	true
parking_lot	0.12.5	registry	true	true	true	true	false
parking_lot_core	0.9.12	registry	true	true	true	true	false
paste	1.0.15	registry	true	true	true	false	false
pem	3.0.6	registry	true	true	true	false	false
pem-rfc7468	0.7.0	registry	true	true	true	false	false
percent-encoding	2.3.2	registry	true	true	true	false	false
pest	2.8.6	registry	true	true	true	false	false
pest_derive	2.8.6	registry	true	true	true	false	false
pest_generator	2.8.6	registry	true	true	true	false	false
pest_meta	2.8.6	registry	true	true	true	false	false
petgraph	0.6.5	registry	true	true	true	false	false
petgraph	0.8.3	registry	true	true	true	false	false
phf	0.13.1	registry	true	true	true	false	false
phf_generator	0.13.1	registry	true	true	true	false	false
phf_macros	0.13.1	registry	true	true	true	false	false
phf_shared	0.13.1	registry	true	true	true	false	false
pin-project	1.1.10	registry	true	true	true	false	true
pin-project-internal	1.1.10	registry	true	true	true	false	true
pin-project-lite	0.2.16	registry	true	true	true	true	true
pin-utils	0.1.0	registry	true	true	true	false	false
pkcs1	0.7.5	registry	true	true	true	false	false
pkcs8	0.10.2	registry	true	true	true	false	false
pkg-config	0.3.32	registry	true	true	true	true	false
plotters	0.3.7	registry	false	true	true	true	false
plotters-backend	0.3.7	registry	false	true	true	true	false
plotters-svg	0.3.7	registry	false	true	true	true	false
pnet_base	0.35.0	registry	true	true	true	false	false
